,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,RT_Outlier,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1,529953_fnca,1,1,Reward,2,5,2.0,0,623,0,40,1,0,1,0,2.0,,,,MostlyReward,MostlyReward
2,529953_fnca,2,1,Reward,3,5,2.0,0,474,0,13,2,0,2,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
3,529953_fnca,3,1,Punishment,4,5,3.0,0,412,0,14,1,1,0,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
4,529953_fnca,4,1,Reward,5,5,3.0,0,558,0,13,2,2,0,0,2.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
5,529953_fnca,5,1,Reward,6,5,2.0,0,318,0,14,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
6,529953_fnca,6,1,Reward,7,5,3.0,0,459,0,13,1,1,0,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7,529953_fnca,7,1,Neutral,8,5,3.0,0,309,0,13,2,2,0,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
8,529953_fnca,8,1,Reward,9,5,2.0,0,241,0,13,1,0,1,0,,3.0,1.0,Neutral,MostlyReward,MostlyReward
9,529953_fnca,10,1,Reward,10,5,2.0,0,685,0,14,2,0,2,0,2.0,,,,MostlyPunishment,MostlyPunishment
10,529953_fnca,11,1,Punishment,11,5,2.0,0,291,0,14,3,0,3,0,2.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
11,529953_fnca,12,1,Punishment,12,5,2.0,0,443,0,13,4,0,4,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
12,529953_fnca,13,1,Punishment,13,5,2.0,0,453,0,13,5,0,5,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
13,529953_fnca,14,1,Neutral,14,5,2.0,0,218,0,13,6,0,6,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
14,529953_fnca,15,1,Punishment,15,5,2.0,0,226,0,13,7,0,7,0,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
15,529953_fnca,16,1,Punishment,16,5,2.0,0,287,0,13,8,0,8,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
16,529953_fnca,17,1,Punishment,17,5,2.0,0,203,0,13,9,0,9,0,,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
17,529953_fnca,19,1,Punishment,18,5,3.0,0,836,0,13,1,1,0,0,2.0,,,,MostlyPunishment,MostlyPunishment
18,529953_fnca,20,1,Punishment,19,5,2.0,0,237,0,13,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
